name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,core,hdmi,mcr,wifi,bluetooth,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity,pixel_width,pixel_height,usb3,usb2,type_c,processor_brand,processor_model,processor_gen
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),25990.0,Acer,1086,4.1,Windows,Everyday Use,21.6,1.5,1.0,14,157,16:9,1,0,8,0,512,Integrated,6,4,2.0,1,0,1,1,0,1,0,0,1,0,,2,45.5,1920,1080,0,1,0,Intel,i3,11th
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),34990.0,Wings,69,4.7,Windows,Business,,1.6,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,8,8,4.0,1,0,1,1,1,1,0,0,0,0,,,17.85,1080,1920,0,1,0,Intel,i5,11th
MSI Thin GF63 12HW-012IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),49990.0,MSI,172,4.25,Windows,Performance,21.7,1.86,2.0,15.6,141,16:9,1,0,16,0,512,Integrated,12,12,8.0,1,0,1,1,1,1,1,0,1,0,,3,51,1920,1080,3,0,0,Intel,i5,12th
Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),79745.0,Acer,75,4.5,Windows,Gaming,25.9,2.6,1.0,15.6,141,16:9,1,0,8,0,512,NVIDIA,12,12,8.0,1,0,1,1,1,1,0,0,1,0,,,,1920,1080,3,0,0,Intel,i5,13th
Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),35990.0,Acer,162,4.0,Windows,Performance,19.7,1.59,1.0,15.6,141,16:9,1,0,16,0,512,Integrated,8,12,6.0,1,1,1,1,0,1,0,0,1,0,,3,36,1920,1080,0,1,0,AMD,5,5th
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),92221.0,HP,406,4.3,Windows,Gaming,24,2.48,1.0,16.1,137,16:9,1,0,16,0,1024,NVIDIA,16,16,8.0,1,0,1,1,1,1,1,0,1,0,,4,70,1920,1080,3,0,0,AMD,7,7th
Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),45990.0,Wings,89,4.15,Windows,Business,16.3,1.48,1.0,14,157,16:9,1,0,16,0,512,Integrated,12,8,4.0,1,0,1,1,1,1,0,0,0,0,,,17.85,1080,1920,0,1,0,Intel,i7,11th
HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37650.0,HP,392,4.1,Windows,Everyday Use,17.9,1.7,1.0,15.6,141,16:9,1,0,8,0,512,Integrated,6,4,2.0,1,1,1,1,0,1,0,0,0,0,,3,41,1920,1080,2,0,0,Intel,i3,11th
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),49990.0,Asus,768,4.25,Windows,Gaming,20,1.8,1.0,16,283,16:10,1,0,8,0,512,AMD,16,12,6.0,1,0,1,1,1,1,0,1,0,0,,3,50,1920,1200,0,1,0,AMD,5,5th
MSI Modern 14 C11M-031IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),28990.0,MSI,703,4.2,Windows,Performance,19.35,1.4,1.0,14,157,16:9,1,0,8,0,512,Integrated,6,4,2.0,1,0,1,1,1,1,0,0,0,0,,3,,1920,1080,0,2,0,Intel,i3,11th
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),69990.0,Apple,14846,4.7,Mac,Performance,16.1,1.29,1.0,13.3,227,16:9,0,0,8,0,256,Integrated,,,8.0,0,0,1,1,1,1,1,0,0,0,,,49.9,2560,1600,2,0,0,Apple,M1,Apple
HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),55999.0,HP,97,4.3,Windows,Gaming,23.5,2.29,1.0,15.6,141,16:9,1,1,8,0,512,AMD,16,12,6.0,1,1,1,1,1,1,0,0,1,0,,,52.5,1920,1080,2,0,0,AMD,5,5th
