name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,pixel,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,processor,core,hdmi,mcr,wifi,bluetooth,usb,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),25990.0,Acer,1086,4.1,Windows 11,Everyday Use,21.6\u2009mmThick, 1.5\u2009kgAverage,1 Year Warranty,14\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 157\u2009PPIHigh,,Anti Glare,,8\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,\u200eIntel Iris Xe Graphics Graphics,6\u2009MB Cache,4 Threads,11th Gen Intel Core i3 1115G4, Dual Core,HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,,Inbuilt Microphone,,,Ethernet (LAN),,,2 Cell BatteryGood,45.5\u2009Wh
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),34990.0,Wings,69,4.7,Windows 11,Business,, 1.6\u2009kgLight,1 Year Warranty,15.6\u2009inchesLargest,1080\u2009x\u20091920\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Graphics Graphics,8\u2009MB Cache,8 Threads,11th Gen Intel Core i5 1135G7, Quad Core,HDMI,,WiFi,Bluetooth,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,,,,,,17.85\u2009Wh BatteryGood
MSI Thin GF63 12HW-012IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),49990.0,MSI,172,4.25,Windows 11,Performance,21.7\u2009mmThick, 1.86\u2009kgHeavy,2 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,Arc A370M Intel ARC GraphicsLargest,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 12450H, Octa Core (4P + 4E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,3 Cell BatteryGood,51\u2009Wh
Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),79745.0,Acer,75,4.5,Windows 11,Gaming,25.9\u2009mmThick, 2.6\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,8\u2009GB DDR5 SDRAM RAMSmall,,512\u2009GB SSD,NVIDIA GeForce RTX 4050 GraphicsLargest,12\u2009MB Cache,12 Threads,13th Gen Intel Core i5 13420H, Octa Core (4P + 4E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,,
Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),35990.0,Acer,162,4.0,Windows 11,Performance,19.7\u2009mmSlim, 1.59\u2009kgLight,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,Intel Iris Xe Graphics Graphics,8\u2009MB Cache,12 Threads,5th Gen AMD Ryzen 5 5500U, Hexa Core,HDMI,Multi Card Reader,WiFi,Bluetooth,1 x USB 2.0,,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell BatteryGood,36\u2009Wh
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),92221.0,HP,406,4.3,Windows 11,Gaming,24\u2009mmThick, 2.48\u2009kgHeavy,1 Year Warranty,16.1\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 137\u2009PPILow,16:9 Aspect Ratio,Anti Glare,,16\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 3050 GraphicsLarge,16\u2009MB Cache,16 Threads,7th Gen AMD Ryzen 7 7840HS, Octa Core,HDMI,,WiFi,Bluetooth v5.3,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell BatteryGood,70\u2009Wh
Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),45990.0,Wings,89,4.15,Windows 11,Business,16.3\u2009mmSlim, 1.48\u2009kgLight,1 Year Warranty,14\u2009inchesSmall,1080\u2009x\u20091920\u2009pixelsAverage,~ 157\u2009PPIHigh,,Anti Glare,,16\u2009GB LPDDR4 RAMLargest,,512\u2009GB SSD,Intel Graphics Graphics,12\u2009MB Cache,8 Threads,11th Gen Intel Core i7 1165G7, Quad Core,HDMI,,WiFi,Bluetooth,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,,,,,,17.85\u2009Wh BatteryGood
HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37650.0,HP,392,4.1,Windows 11,Everyday Use,17.9\u2009mmSlim, 1.7\u2009kgAverage,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,16:9 Aspect Ratio,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel UHD Graphics Graphics,6\u2009MB Cache,4 Threads,11th Gen Intel Core i3 1115G4, Dual Core,HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,2 x USB 3.0,,Inbuilt Microphone,,,,,,3 Cell BatteryGood,41\u2009Wh
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),49990.0,Asus,768,4.25,Windows 11,Gaming,20\u2009mmThick, 1.8\u2009kgHeavy,1 Year Warranty,16\u2009inchesLargest,1920\u2009x\u20091200\u2009pixelsGood,~ 283\u2009PPIHighest,16:10 Aspect Ratio,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,AMD Radeon Vega 7 Graphics,16\u2009MB Cache,12 Threads,5th Gen AMD Ryzen 5 5600H, Hexa Core,HDMI,,WiFi,Bluetooth v5.0,1 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,Fingerprint Sensor,,,,3 Cell BatteryGood,50\u2009Wh
MSI Modern 14 C11M-031IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),28990.0,MSI,703,4.2,Windows 11,Performance,19.35\u2009mmSlim, 1.4\u2009kgLight,1 Year Warranty,14\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 157\u2009PPIHigh,,Anti Glare,,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,Intel Integrated UHD Graphics,6\u2009MB Cache,4 Threads,11th Gen Intel Core i3 1115G4, Dual Core,HDMI,,WiFi,Bluetooth v5.2,2 x USB 2.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell Battery,
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),69990.0,Apple,14846,4.7,Mac,Performance,16.1\u2009mmSlim, 1.29\u2009kgLight,1 Year Warranty,13.3\u2009inchesSmall,2560\u2009x\u20091600\u2009pixelsGood,~ 227\u2009PPIHigh,,,,8\u2009GB DDR4 RAMAverage,,256\u2009GB SSD,Apple M1 Integrated Graphics Graphics,,,Apple M1, Octa Core (4P + 4E),,,WiFi,Bluetooth v5.0,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,,,,,49.9\u2009Wh BatteryGood
HP Victus 15-fb0147AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),55999.0,HP,97,4.3,Windows 11,Gaming,23.5\u2009mmThick, 2.29\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,Touch Screen,8\u2009GB DDR4 RAMAverage,,512\u2009GB SSD,AMD Radeon RX 6500M GraphicsLargest,16\u2009MB Cache,12 Threads,5th Gen AMD Ryzen 5 5600H, Hexa Core,HDMI,Multi Card Reader,WiFi,Bluetooth v5.3,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,,52.5\u2009Wh BatteryGood
Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),85990.0,Asus,68,4.4,Windows 11,Performance,25\u2009mmThick, 2.2\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR5 RAMAverage,,1\u2009TB SSD,NVIDIA GeForce RTX 3050 GraphicsAverage,24\u2009MB Cache,20 Threads,12th Gen Intel Core i7 12700H , 14 Cores,HDMI,,WiFi,Bluetooth v5.1,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,Thunderbolt,,Ethernet (LAN),,,4 Cell BatteryGood,76\u2009Wh
Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),49990.0,Samsung,332,4.3,Windows 11,Business,18.5\u2009mmSlim, 1.8\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesLarge,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB LPDDR4 RAMLargest,,512\u2009GB SSD,Intel Integrated UHD Graphics,12\u2009MB Cache,12 Threads,12th Gen Intel Core i5 1235U , 10 Cores (2P + 8E),HDMI,,WiFi,Bluetooth v5.1,1 x USB 2.0,,Inbuilt Microphone,,,Ethernet (LAN),,,4 Cell BatteryGood,43\u2009Wh
Dell Inspiron 5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),67190.0,Dell,119,4.35,Windows 11,Gaming,26.9\u2009mmThick, 2.57\u2009kgHeavy,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR5 RAMLargest,,512\u2009GB SSD,NVIDIA GeForce RTX 3050 GraphicsLargest,18\u2009MB Cache,16 Threads,12th Gen Intel Core i5 12500H, 12 Cores (4P + 8E),HDMI,,WiFi,Bluetooth v5.1,3 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,Ethernet (LAN),,,3 Cell BatteryGood,56\u2009Wh
HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),45990.0,HP,66,4.25,Windows 11,Performance,17.9\u2009mmSlim, 1.69\u2009kgAverage,1 Year Warranty,15.6\u2009inchesAverage,1920\u2009x\u20091080\u2009pixelsAverage,~ 141\u2009PPIAverage,,Anti Glare,,16\u2009GB DDR4 RAMLargest,,512\u2009GB SSD,AMD Radeon AMD Graphics,8\u2009MB Cache,12 Threads,5th Gen AMD Ryzen 5 5500U, Hexa Core,HDMI,Multi Card Reader,WiFi,Bluetooth v5.0,2 x USB 3.0,Backlit Keyboard,Inbuilt Microphone,,,,,,3 Cell Battery,
