Unnamed: 0,price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,processor
0,25990.0,acer,Everyday Use,lite,1.0,small,medium,0,8,512,Integrated,2.0,1,0,medium,Intel i3 11.0
1,34990.0,others,Business,medium,1.0,medium,low,0,8,512,Integrated,4.0,1,1,low,Intel i5 11.0
2,49990.0,msi,Performance,medium,2.0,medium,low,0,16,512,Integrated,8.0,1,1,medium,Intel i5 12.0
3,79745.0,acer,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,8.0,1,1,medium,Intel i5 13.0
4,35990.0,acer,Performance,medium,1.0,medium,low,0,16,512,Integrated,6.0,1,0,low,AMD 5 5.0
5,92221.0,hp,Gaming,heavy,1.0,large,low,0,16,1024,NVIDIA,8.0,1,1,high,AMD 7 7.0
6,45990.0,others,Business,lite,1.0,small,medium,0,16,512,Integrated,4.0,1,1,low,Intel i7 11.0
7,37650.0,hp,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,2.0,1,0,low,Intel i3 11.0
8,49990.0,asus,Gaming,medium,1.0,large,very_high,0,8,512,AMD,6.0,1,1,medium,AMD 5 5.0
9,28990.0,msi,Performance,lite,1.0,small,medium,0,8,512,Integrated,2.0,1,1,medium,Intel i3 11.0
10,69990.0,apple,Performance,lite,1.0,small,high,0,8,256,Integrated,8.0,0,1,medium,others
11,55999.0,hp,Gaming,heavy,1.0,medium,low,1,8,512,AMD,6.0,1,1,medium,AMD 5 5.0
12,85990.0,asus,Performance,heavy,1.0,medium,low,0,16,1024,NVIDIA,14.0,1,1,very_high,Intel i7 12.0
13,49990.0,samsung,Business,medium,1.0,medium,low,0,16,512,Integrated,10.0,1,0,low,Intel i5 12.0
14,67190.0,dell,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,12.0,1,1,high,Intel i5 12.0
15,45990.0,hp,Performance,medium,1.0,medium,low,0,16,512,AMD,6.0,1,1,medium,AMD 5 5.0
16,34990.0,acer,Everyday Use,lite,1.0,small,low,0,16,512,Integrated,4.0,1,0,medium,Intel i5 11.0
17,59990.0,acer,Performance,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,Intel i5 12.0
18,58990.0,asus,Performance,medium,1.0,medium,low,0,16,512,Integrated,12.0,1,1,high,Intel i5 12.0
19,57990.0,asus,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,6.0,1,1,very_high,Intel i5 11.0
20,62990.0,hp,Gaming,heavy,1.0,large,low,0,16,512,NVIDIA,6.0,1,1,high,Intel i5 11.0
21,44990.0,samsung,Business,medium,1.0,medium,low,0,8,512,Integrated,10.0,1,0,low,Intel i5 12.0
22,41990.0,hp,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,6.0,1,1,low,Intel i3 12.0
23,79990.0,acer,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,Intel i5 13.0
24,64990.0,asus,Performance,medium,1.0,medium,low,0,16,512,Integrated,10.0,1,1,low,Intel i7 12.0
25,62990.0,acer,Performance,lite,1.0,small,high,0,16,512,Integrated,12.0,1,1,medium,Intel i5 12.0
26,59990.0,lenovo,Performance,medium,1.0,medium,low,0,16,512,Integrated,10.0,1,1,medium,Intel i7 12.0
27,80980.0,asus,Gaming,heavy,1.0,medium,low,0,16,1024,NVIDIA,8.0,1,1,very_high,Intel i7 11.0
28,38490.0,hp,Performance,lite,1.0,small,medium,0,8,512,Integrated,8.0,1,0,low,Intel i3 13.0
29,61990.0,asus,Everyday Use,medium,1.0,large,very_high,0,16,512,AMD,8.0,1,1,medium,AMD 7 5.0
30,37990.0,infinix,Performance,lite,1.0,small,medium,0,16,512,Integrated,10.0,1,1,medium,Intel i5 12.0
31,148990.0,lenovo,Gaming,heavy,1.0,large,high,0,32,1024,NVIDIA,14.0,1,1,very_high,Intel i9 13.0
32,71960.0,hp,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,high,Intel i5 12.0
33,46990.0,others,Everyday Use,lite,1.0,small,high,0,16,512,Integrated,8.0,1,1,high,Intel i5 12.0
34,25990.0,others,Business,medium,1.0,medium,low,0,8,256,Integrated,4.0,1,1,low,Intel i3 11.0
35,49990.0,acer,Performance,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,Intel i5 12.0
36,63990.0,msi,Performance,medium,2.0,medium,low,0,16,256,NVIDIA,8.0,1,1,medium,Intel i7 11.0
37,64990.0,msi,Gaming,medium,2.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,Intel i7 11.0
38,37516.0,dell,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,6.0,1,0,low,Intel i3 12.0
39,53981.0,asus,Gaming,medium,1.0,large,medium,0,16,512,AMD,6.0,1,1,medium,AMD 5 5.0
40,22980.0,hp,Everyday Use,lite,1.0,small,low,0,8,0,AMD,6.0,1,0,low,others
41,46990.0,others,Everyday Use,medium,1.0,medium,high,0,16,512,Integrated,4.0,1,1,low,Intel i5 11.0
42,56990.0,lenovo,Everyday Use,lite,1.0,small,low,0,16,512,Integrated,8.0,1,1,high,Intel i5 12.0
43,29990.0,infinix,Performance,lite,1.0,small,medium,0,8,512,Integrated,6.0,1,1,medium,Intel i3 12.0
44,89990.0,asus,Gaming,heavy,1.0,large,medium,0,16,512,NVIDIA,10.0,1,1,high,Intel i5 13.0
45,55990.0,asus,Performance,medium,1.0,medium,low,0,8,512,Integrated,12.0,1,1,low,Intel i5 12.0
46,27990.0,acer,Performance,medium,1.0,medium,low,0,8,512,Integrated,2.0,1,0,low,Intel i3 11.0
47,24990.0,acer,Everyday Use,lite,1.0,small,medium,0,8,256,Integrated,2.0,1,0,medium,Intel i3 11.0
48,32990.0,acer,Everyday Use,lite,1.0,small,low,0,8,512,Integrated,4.0,1,0,medium,Intel i5 11.0
49,36850.0,hp,Everyday Use,medium,1.0,medium,low,0,8,512,AMD,6.0,1,0,low,AMD 5 5.0
50,36990.0,lenovo,Performance,medium,1.0,medium,medium,0,8,512,AMD,6.0,1,0,low,AMD 5 5.0
51,67990.0,dell,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,12.0,1,1,low,Intel i5 12.0
52,18990.0,lenovo,Everyday Use,medium,1.0,small,medium,0,8,256,AMD,2.0,1,0,low,others
53,35980.0,dell,Everyday Use,medium,1.0,medium,medium,0,8,512,Integrated,2.0,1,1,medium,Intel i3 11.0
54,80990.0,hp,Gaming,heavy,1.0,large,low,0,16,512,NVIDIA,8.0,1,1,high,AMD 7 7.0
55,53999.0,hp,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,10.0,1,0,low,Intel i5 12.0
56,58989.0,lenovo,Everyday Use,medium,1.0,large,low,0,16,512,Integrated,8.0,1,1,high,Intel i5 12.0
57,126990.0,msi,Performance,heavy,2.0,medium,low,0,16,1024,NVIDIA,14.0,1,1,medium,Intel i9 13.0
58,42999.0,acer,Performance,medium,1.0,medium,low,0,16,512,Integrated,4.0,1,0,low,Intel i5 11.0
59,84499.0,dell,Everyday Use,medium,1.0,small,low,0,16,1024,Integrated,12.0,1,1,medium,Intel i7 13.0
60,30990.0,infinix,Everyday Use,lite,1.0,small,medium,0,8,256,Integrated,2.0,1,1,medium,Intel i3 11.0
61,74990.0,hp,Performance,medium,1.0,medium,low,0,16,512,Integrated,12.0,1,1,low,Intel i5 13.0
62,62750.0,hp,Gaming,heavy,1.0,large,low,0,16,512,NVIDIA,6.0,1,1,high,Intel i5 11.0
63,65990.0,asus,Gaming,medium,1.0,medium,low,0,16,512,NVIDIA,6.0,1,1,medium,AMD 5 5.0
64,11990.0,others,Everyday Use,lite,1.0,small,low,0,4,0,Integrated,8.0,0,0,low,others
65,49990.0,acer,Gaming,medium,1.0,medium,low,0,16,512,NVIDIA,12.0,1,1,medium,Intel i5 12.0
66,72990.0,dell,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,12.0,1,1,high,Intel i5 12.0
67,29990.0,asus,Performance,medium,1.0,medium,low,0,8,256,Integrated,2.0,1,1,low,Intel i3 11.0
68,144990.0,acer,Performance,heavy,1.0,large,medium,0,16,1024,NVIDIA,24.0,1,1,very_high,Intel i9 13.0
69,109990.0,asus,Performance,lite,1.0,small,high,0,16,1024,NVIDIA,14.0,1,1,high,Intel i9 13.0
70,87990.0,hp,Gaming,heavy,1.0,medium,low,0,16,1024,NVIDIA,10.0,1,1,high,Intel i7 12.0
71,88990.0,asus,Gaming,heavy,1.0,large,high,0,16,512,NVIDIA,8.0,1,1,high,AMD 7 6.0
72,56990.0,hp,Gaming,heavy,1.0,medium,low,0,16,512,AMD,6.0,1,1,medium,AMD 5 5.0
73,48990.0,msi,Performance,medium,2.0,medium,low,0,16,512,NVIDIA,6.0,1,1,medium,Intel i5 11.0
74,93050.0,lenovo,Gaming,heavy,1.0,medium,high,0,16,512,NVIDIA,8.0,1,1,high,Intel i5 12.0
75,89999.0,lenovo,Gaming,medium,1.0,medium,high,0,8,512,NVIDIA,8.0,1,1,high,Intel i5 13.0
76,13990.0,others,Performance,medium,1.0,medium,medium,0,4,256,Integrated,2.0,1,0,low,Intel N4020 3.0
77,76990.0,asus,Performance,heavy,1.0,medium,low,0,8,512,NVIDIA,12.0,1,1,very_high,Intel i5 12.0
78,23990.0,lenovo,Performance,medium,1.0,medium,low,0,8,512,AMD,2.0,1,1,low,others
79,23990.0,infinix,Everyday Use,lite,1.0,small,medium,0,8,512,Integrated,2.0,1,1,medium,Intel i3 11.0
80,97989.0,acer,Gaming,heavy,1.0,medium,high,0,16,1024,NVIDIA,10.0,1,1,high,Intel i7 12.0
81,109990.0,asus,Performance,heavy,1.0,medium,low,0,16,512,NVIDIA,14.0,1,1,very_high,Intel i7 12.0
82,47741.0,asus,Performance,medium,1.0,medium,low,0,8,512,Integrated,10.0,1,1,low,Intel i5 12.0
83,75990.0,asus,Performance,medium,1.0,medium,high,0,16,512,Integrated,12.0,1,1,high,Intel i5 13.0
