name,price,brand,no_of_votes,rating,os,utility,thickness,weight,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,thread,core,hdmi,mcr,wifi,bluetooth,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,camera,num_of_cell,battery_capacity,pixel_width,pixel_height,usb3,usb2,type_c,processor_brand,processor_model,processor_gen
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),25990.0,Acer,1086,4.1,Windows,Everyday Use,medium,lite,1.0,small,157,16:9,1,0,8,0,512,Integrated,6.0,4.0,2.0,1,0,1,1,0,1,0,0,1,0,,2.0,45.5,1920.0,1080.0,0,1,0,Intel,i3,11.0
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),34990.0,Wings,69,4.7,Windows,Business,medium,medium,1.0,medium,141,16:9,1,0,8,0,512,Integrated,8.0,8.0,4.0,1,0,1,1,1,1,0,0,0,0,,2.0,17.85,1080.0,1920.0,0,1,0,Intel,i5,11.0
MSI Thin GF63 12HW-012IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),49990.0,MSI,172,4.25,Windows,Performance,medium,medium,2.0,medium,141,16:9,1,0,16,0,512,Integrated,12.0,12.0,8.0,1,0,1,1,1,1,1,0,1,0,,3.0,51.0,1920.0,1080.0,3,0,0,Intel,i5,12.0
Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),79745.0,Acer,75,4.5,Windows,Gaming,thick,heavy,1.0,medium,141,16:9,1,0,8,0,512,NVIDIA,12.0,12.0,8.0,1,0,1,1,1,1,0,0,1,0,,3.0,49.61666666666666,1920.0,1080.0,3,0,0,Intel,i5,13.0
Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),35990.0,Acer,162,4.0,Windows,Performance,medium,medium,1.0,medium,141,16:9,1,0,16,0,512,Integrated,8.0,12.0,6.0,1,1,1,1,0,1,0,0,1,0,,3.0,36.0,1920.0,1080.0,0,1,0,AMD,5,5.0
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),92221.0,HP,406,4.3,Windows,Gaming,thick,heavy,1.0,large,137,16:9,1,0,16,0,1024,NVIDIA,16.0,16.0,8.0,1,0,1,1,1,1,1,0,1,0,,4.0,70.0,1920.0,1080.0,3,0,0,AMD,7,7.0
Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),45990.0,Wings,89,4.15,Windows,Business,medium,lite,1.0,small,157,16:9,1,0,16,0,512,Integrated,12.0,8.0,4.0,1,0,1,1,1,1,0,0,0,0,,2.0,17.85,1080.0,1920.0,0,1,0,Intel,i7,11.0
HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),37650.0,HP,392,4.1,Windows,Everyday Use,medium,medium,1.0,medium,141,16:9,1,0,8,0,512,Integrated,6.0,4.0,2.0,1,1,1,1,0,1,0,0,0,0,,3.0,41.0,1920.0,1080.0,2,0,0,Intel,i3,11.0
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),49990.0,Asus,768,4.25,Windows,Gaming,medium,medium,1.0,large,283,16:10,1,0,8,0,512,AMD,16.0,12.0,6.0,1,0,1,1,1,1,0,1,0,0,,3.0,50.0,1920.0,1200.0,0,1,0,AMD,5,5.0
MSI Modern 14 C11M-031IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),28990.0,MSI,703,4.2,Windows,Performance,medium,lite,1.0,small,157,16:9,1,0,8,0,512,Integrated,6.0,4.0,2.0,1,0,1,1,1,1,0,0,0,0,,3.0,49.61666666666666,1920.0,1080.0,0,2,0,Intel,i3,11.0
