price,brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen
25990.0,Acer,Windows,Everyday Use,1.0,small,157,16:9,1,0,8,0,512,Integrated,6.0,2.0,1,0,1,0,1,0,0,1,0,2.0,45.5,1920.0,1080.0,1,0,Intel,i3,11.0
34990.0,Wings,Windows,Business,1.0,medium,141,16:9,1,0,8,0,512,Integrated,8.0,4.0,1,0,1,1,1,0,0,0,0,2.0,17.85,1080.0,1920.0,1,0,Intel,i5,11.0
49990.0,MSI,Windows,Performance,2.0,medium,141,16:9,1,0,16,0,512,Integrated,12.0,8.0,1,0,1,1,1,1,0,1,0,3.0,51.0,1920.0,1080.0,0,0,Intel,i5,12.0
79745.0,Acer,Windows,Gaming,1.0,medium,141,16:9,1,0,8,0,512,NVIDIA,12.0,8.0,1,0,1,1,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,Intel,i5,13.0
35990.0,Acer,Windows,Performance,1.0,medium,141,16:9,1,0,16,0,512,Integrated,8.0,6.0,1,1,1,0,1,0,0,1,0,3.0,36.0,1920.0,1080.0,1,0,AMD,5,5.0
92221.0,HP,Windows,Gaming,1.0,large,137,16:9,1,0,16,0,1024,NVIDIA,16.0,8.0,1,0,1,1,1,1,0,1,0,4.0,70.0,1920.0,1080.0,0,0,AMD,7,7.0
45990.0,Wings,Windows,Business,1.0,small,157,16:9,1,0,16,0,512,Integrated,12.0,4.0,1,0,1,1,1,0,0,0,0,2.0,17.85,1080.0,1920.0,1,0,Intel,i7,11.0
37650.0,HP,Windows,Everyday Use,1.0,medium,141,16:9,1,0,8,0,512,Integrated,6.0,2.0,1,1,1,0,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,Intel,i3,11.0
49990.0,Asus,Windows,Gaming,1.0,large,283,16:10,1,0,8,0,512,AMD,16.0,6.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1200.0,1,0,AMD,5,5.0
28990.0,MSI,Windows,Performance,1.0,small,157,16:9,1,0,8,0,512,Integrated,6.0,2.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,Intel,i3,11.0
69990.0,Apple,Mac,Performance,1.0,small,227,16:9,0,0,8,0,256,Integrated,12.0,8.0,0,0,1,1,1,1,0,0,0,3.0,49.9,2560.0,1600.0,0,0,Apple,M1,2.0
55999.0,HP,Windows,Gaming,1.0,medium,141,16:9,1,1,8,0,512,AMD,16.0,6.0,1,1,1,1,1,0,0,1,0,3.0,52.5,1920.0,1080.0,0,0,AMD,5,5.0
85990.0,Asus,Windows,Performance,1.0,medium,141,16:9,1,0,16,0,1024,NVIDIA,24.0,14.0,1,0,1,1,1,1,0,1,0,4.0,76.0,1920.0,1080.0,0,0,Intel,i7,12.0
49990.0,Samsung,Windows,Business,1.0,medium,141,16:9,1,0,16,0,512,Integrated,12.0,10.0,1,0,1,0,1,0,0,1,0,4.0,43.0,1920.0,1080.0,1,0,Intel,i5,12.0
67190.0,Dell,Windows,Gaming,1.0,medium,141,16:9,1,0,16,0,512,NVIDIA,18.0,12.0,1,0,1,1,1,0,0,1,0,3.0,56.0,1920.0,1080.0,0,0,Intel,i5,12.0
