brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen,price
2.0,2.0,1.0,1.0,2.0,157,1.0,1,0,8,0,512,1.0,6.0,2.0,1,0,1,0,1,0,0,1,0,2.0,45.5,1920.0,1080.0,1,0,2.0,18.0,11.0,25990.0
25.0,2.0,0.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,8.0,4.0,1,0,1,1,1,0,0,0,0,2.0,17.85,1080.0,1920.0,1,0,2.0,19.0,11.0,34990.0
16.0,2.0,3.0,2.0,1.0,141,1.0,1,0,16,0,512,1.0,12.0,8.0,1,0,1,1,1,1,0,1,0,3.0,51.0,1920.0,1080.0,0,0,2.0,19.0,12.0,49990.0
2.0,2.0,2.0,1.0,1.0,141,1.0,1,0,8,0,512,2.0,12.0,8.0,1,0,1,1,1,0,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,2.0,19.0,13.0,79745.0
2.0,2.0,3.0,1.0,1.0,141,1.0,1,0,16,0,512,1.0,8.0,6.0,1,1,1,0,1,0,0,1,0,3.0,36.0,1920.0,1080.0,1,0,0.0,4.0,5.0,35990.0
10.0,2.0,2.0,1.0,0.0,137,1.0,1,0,16,0,1024,2.0,16.0,8.0,1,0,1,1,1,1,0,1,0,4.0,70.0,1920.0,1080.0,0,0,0.0,5.0,7.0,92221.0
25.0,2.0,0.0,1.0,2.0,157,1.0,1,0,16,0,512,1.0,12.0,4.0,1,0,1,1,1,0,0,0,0,2.0,17.85,1080.0,1920.0,1,0,2.0,20.0,11.0,45990.0
10.0,2.0,1.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,6.0,2.0,1,1,1,0,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,2.0,18.0,11.0,37650.0
4.0,2.0,2.0,1.0,0.0,283,0.0,1,0,8,0,512,0.0,16.0,6.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1200.0,1,0,0.0,4.0,5.0,49990.0
16.0,2.0,3.0,1.0,2.0,157,1.0,1,0,8,0,512,1.0,6.0,2.0,1,0,1,1,1,0,0,0,0,3.0,49.61666666666666,1920.0,1080.0,2,0,2.0,18.0,11.0,28990.0
3.0,0.0,3.0,1.0,2.0,227,1.0,0,0,8,0,256,1.0,12.0,8.0,0,0,1,1,1,1,0,0,0,3.0,49.9,2560.0,1600.0,0,0,1.0,10.0,2.0,69990.0
10.0,2.0,2.0,1.0,1.0,141,1.0,1,1,8,0,512,0.0,16.0,6.0,1,1,1,1,1,0,0,1,0,3.0,52.5,1920.0,1080.0,0,0,0.0,4.0,5.0,55999.0
4.0,2.0,3.0,1.0,1.0,141,1.0,1,0,16,0,1024,2.0,24.0,14.0,1,0,1,1,1,1,0,1,0,4.0,76.0,1920.0,1080.0,0,0,2.0,20.0,12.0,85990.0
21.0,2.0,0.0,1.0,1.0,141,1.0,1,0,16,0,512,1.0,12.0,10.0,1,0,1,0,1,0,0,1,0,4.0,43.0,1920.0,1080.0,1,0,2.0,19.0,12.0,49990.0
